Calle Agustin Lara No. 69-B	Col. Ex-Normal Tuxtepec
Av. Independencia No. 241	Col. Centro Tuxtepec
Av. Independencia No. 779	Col. Centro Tuxtepec
Av. 20 De Noviembre No.1024	Col.Centro
Carretera A Loma Alta S/N.	Lomas Del Pedregal Tuxtepec
Av. 20 De Noviembre No. 1060	Col. Centro Tuxtepec
Calle Zaragoza No. 1010	Col. La Piragua Tuxtepec
Calle Matamoros No. 310	Col. Centro Tuxtepec
Av. 20 De Noviembre No.859-B	Col. Centro
Av. 20 De Noviembre No 1053	Col. Centro Tuxtepec
Blvd. Benito Juarez No. 1466-A Fracc. Los Angeles Tuxtepec
Calle Matamoros No.280	Col. Centro Tuxtepec
Av. Independencia No. 545	Col. Centro Tuxtepec
Av. Independencia No. 1282-A	Col.Centro Tuxtepec
Calle Matamoros No. 127	Col. Centro Tuxtepec
Av.Independencia No.1010	Col.Centro Tuxtepec.
Av. 5 De Mayo No. 1652	La Piragua
Av. 5 De Mayo No. 1108	Col.Centro Tuxtepec
Av. Independencia No. 748	Col. Centro Tuxtepec
Av. Independencia No. 985-A	Col. Centro Tuxtepec
Av. Independencia No. 985-A	Centro
Blvd. Benito Juarez S / N	La Piragua Tuxtepec
Matamoros No 149	Centro Tuxtepec
Av. 5 De Mayo No 1100-A	Centro Tuxtepec
Av. 20 De Noviembre No 1540	La Piragua Tuxtepec
Av. 5 De Mayo No 1253	Centro Tuxtepec
Calle Ocampo No 14	Centro Tuxtepec
Blvd. Benito Juarez Esq. 20 De Noviembre S/N	Centro Tuxtepec
Calle Aldama No 156	Centro Tuxtepec
Av. Independencia No 145	Centro Tuxtepec
Av. 20 De Noviembre No 1046	Centro Tuxtepec
Calle Ignacio Rayon No.949	Col. Lazaro Cardenas
Calle Ignacio Rayon No.934	Col.Lazaro Cardenas
Av. 20 De Nov. No. 881 Esq. Aldama	Col.Centro Tuxtepec.
Av. 20 De Noviembre No. 1178	Col.Centro
Av. 5 De Mayo No. 1226	Col.Centro Tuxtepec
Av. Independencia S/N Ext. Del Mercado Central Esq. Benito Juarez	Centro Tuxtepec
Matamoros No 85 Esq. 20 De Noviembre	Centro Tuxtepec
Av. 20 De Noviembre No 1320	Centro Tuxtepec
Calle Ocampo No. 254	Col.Centro Tuxtepec
Av.Independencia No. 678	Col. Centro
Av. Independencia N0.677	Col. La Piragua Tuxtepec
Calle Morelos No. 72-B	Col. Centro Tuxtepec
Calle Aldama No.50	Col.Centro Tuxtepec
Calle Ignacio Matias No.6	Col.Ma. Luisa
Av. Independencia No. 670	Centro
Prol.5 De Mayo No.786	Col.5 De Mayo Tuxtepec
Av. Libertad No. 495	Col.Centro Tuxtepec
Av. 5 No. 1186 A	Costa Verde
Av. 5 No.1186-A	Fracc. Costa Verde Tuxtepec
Av. 20 De Noviembre Esq. Juarez	Col. Centro Tuxtepec.
Av. Independencia N0.670	Col. Centro Tuxtepec
Calle Benito Juarez No.495	Col.Lazaro Cardenas.
